question,generated_answer,ideal_answer,gt_document,retrieved_docs,retrieved_scores,prec_k,hit_rate,avg_score,max_score,min_score,score_std,rouge_l,bert_score_f1
"Клиенты, связанные с защищенным интернет-шлюзом, могут работать в каких из двух режимов?","Клиенты, связанные с защищенным интернет-шлюзом, могут работать в двух режимах: в интернете и в корпоративной сети. В интернете корпоративные ресурсы недоступны, а в корпоративной сети доступ в интернет заблокирован.",VРабота в интернете. Корпоративные ресурсы недоступны. Работа в корпоративной сети. Доступ в интернет заблокирован.,01 ViPNet Coordinator HW 5. Подготовка к работе.pdf,"['01 ViPNet Coordinator HW 5. Подготовка к работе.pdf', '02 ViPNet Coordinator HW 5. Настройка в CLI.pdf', '02 ViPNet Coordinator HW 5. Настройка в CLI.pdf']","[0.8751699328422546, 0.8617749810218811, 0.8581258058547974]",0.2,1.0,0.8650235732396444,0.8751699328422546,0.8581258058547974,0.007327599868038938,0.4117647013148789,0.7910242676734924
Добавлена поддержка какого USB-токена в версии 5.3.0?,В версии 5.3.0 добавлена поддержка рутокена ЭЦП 3.0 (3100) и JaCarta-2 ГОСТ.,Добавлена поддержка USB-токена Рутокен ЭЦП 3.0 (3100).,06 ViPNet Coordinator HW 5. История версий.pdf,"['06 ViPNet Coordinator HW 5. История версий.pdf', '02 ViPNet Coordinator HW 5. Настройка в CLI.pdf', '01 ViPNet Coordinator HW 5. Подготовка к работе.pdf']","[0.8631190061569214, 0.8567388653755188, 0.8549479246139526]",0.0,0.0,0.8582685987154642,0.8631190061569214,0.8549479246139526,0.0035068225374705136,0.476190471473923,0.8500199913978577
Назови длину волны AT-SPEX (Аппаратные платформы HW2000 Q5).,AT-SPEX (Аппаратные платформы HW2000 Q5) имеет длину волны 1310 нм.,"Длина волны, нм: 1310.",07 ViPNet Coordinator HW 5. Перечень совместимых трансиверов.pdf,"['01 ViPNet Coordinator HW 5. Подготовка к работе.pdf', '07 ViPNet Coordinator HW 5. Перечень совместимых трансиверов.pdf', '07 ViPNet Coordinator HW 5. Перечень совместимых трансиверов.pdf']","[0.877011239528656, 0.8748038411140442, 0.8745430707931519]",0.4,1.0,0.875452717145284,0.877011239528656,0.8745430707931519,0.0011071718640055246,0.14285713877551035,0.7063577771186829
Какие дополнительные сетевые функции поддерживает ViPNet Coordinator HW?,"ViPNet Coordinator HW поддерживает функцию работы в качестве точки доступа сети Wi-Fi только в исполнениях со встроенными Wi-Fi-модулями: ViPNet Coordinator HW50 А, B на аппаратной платформе HW50 N2 и ViPNet Coordinator HW100 C на аппаратной платформе HW100 N2. Кроме того, он может работать как клиент сети Wi-Fi. В остальных исполнениях ViPNet Coordinator HW поддерживает только настройку через веб-интерфейс без возможности работы в качестве точки доступа или клиента Wi-Fi.","ViPNet Coordinator HW поддерживает дополнительный набор сетевых функций: кластер высокой доступности, агрегирование интерфейсов, VLAN, расширенная маршрутизация трафика, резервирование и балансировка каналов связи, обеспечение QoS.",01 ViPNet Coordinator HW 5. Подготовка к работе.pdf,"['03 ViPNet Coordinator HW 5. Настройка в WEB.pdf', '01 ViPNet Coordinator HW 5. Подготовка к работе.pdf', '03 ViPNet Coordinator HW 5. Настройка в WEB.pdf']","[0.926632285118103, 0.9260554909706116, 0.9236066341400146]",0.2,1.0,0.925431470076243,0.926632285118103,0.9236066341400146,0.0013116637063307875,0.14925372674537773,0.670985996723175
Какие две задачи решает NAT в ViPNet Coordinator HW?,"NAT в ViPNet Coordinator HW решает две задачи: подключение локальной сети к интернету при превышении количества публичных IP-адресов и доступ к локальным ресурсам из внешней сети. Для первого случая используется трансляция адреса источника, а для второго — трансляция адреса.","NAT позволяет решить две задачи: Подключение локальной сети к интернету, когда количество узлов локальной сети превышает выданное поставщиком услуг интернета количество публичных IP-адресов. В этом случае используется трансляция адреса источника, которая позволяет компьютерам с частными IP-адресами получать доступ к интернету от имени публичного IP-адреса ViPNet Coordinator HW. Доступ к локальным ресурсам из внешней сети. В этом случае используется трансляция адреса назначения, которая позволяет узлам локальной сети, имеющим частные IP-адреса, быть доступными пользователям интернета по публичным IP-адресам.",01 ViPNet Coordinator HW 5. Подготовка к работе.pdf,"['01 ViPNet Coordinator HW 5. Подготовка к работе.pdf', '03 ViPNet Coordinator HW 5. Настройка в WEB.pdf', '02 ViPNet Coordinator HW 5. Настройка в CLI.pdf']","[0.9114007949829102, 0.8926160335540771, 0.8922213315963745]",0.2,1.0,0.8987460533777872,0.9114007949829102,0.8922213315963745,0.008949704323912034,0.40425531447487556,0.7994148135185242
Что происходит при срабатывании правила IPS в ViPNet Coordinator HW?,"При срабатывании правила IPS в ViPNet Coordinator HW срабатывает первое правило или блокирующее правило (если оно есть), и IPS может пропустить отложенную атаку, если между моментом открытия сессии атаки и отправкой вредоносного ПО в этой сессии на устройстве были открыты и закрывались другие сессии. В режиме детекции IPS не регистрирует обнаруженные угрозы без их блокировки. Для работы в этом режиме необходимо установить все блокирующие правила.",При обнаружении характерных признаков вторжения (срабатывании правила IPS) IP-пакет может быть блокирован межсетевым экраном или пропущен для дальнейшей обработки с предупреждением. Событие срабатывания правила IPS регистрируется в журнале IP-пакетов.,01 ViPNet Coordinator HW 5. Подготовка к работе.pdf,"['03 ViPNet Coordinator HW 5. Настройка в WEB.pdf', '02 ViPNet Coordinator HW 5. Настройка в CLI.pdf', '03 ViPNet Coordinator HW 5. Настройка в WEB.pdf']","[0.9217044115066528, 0.9202812910079956, 0.9162141680717468]",0.0,0.0,0.9193999568621317,0.9217044115066528,0.9162141680717468,0.0023264071943852674,0.12195121501487226,0.7097209095954895
Какую роль выполняет ViPNet Coordinator HW в виртуальной защищенной сети ViPNet?,"ViPNet Coordinator HW выполняет роль VPN-шлюза в виртуальной защищенной сети ViPNet, создавая VPN-туннели на сетевом (L3) и канальном (L2) уровнях модели OSI между узлами сети ViPNet с использованием протоколов UDP, TCP и IP/241, в которые инкапсулируются пакеты любых других IP-протоколов.","ViPNet Coordinator HW выполняет роль VPN-шлюза в виртуальной защищенной сети ViPNet, которая может быть развернута поверх локальных и глобальных IP-сетей. VPN-шлюз: позволяет создавать VPN-туннели на сетевом (L3) и канальном (L2) уровнях модели OSI между узлами сети ViPNet с помощью протоколов UDP, TCP и IP/241, в которые инкапсулируются пакеты любых других IP-протоколов; обеспечивает поддержку служебных функций сети ViPNet: VPN-маршрутизатора, сервера IP-адресов, сервера соединений и транспорта.",01 ViPNet Coordinator HW 5. Подготовка к работе.pdf,"['01 ViPNet Coordinator HW 5. Подготовка к работе.pdf', '02 ViPNet Coordinator HW 5. Настройка в CLI.pdf', '01 ViPNet Coordinator HW 5. Подготовка к работе.pdf']","[0.9206658601760864, 0.920302152633667, 0.9156531095504761]",0.4,1.0,0.9188737074534098,0.9206658601760864,0.9156531095504761,0.002282142112634411,0.717391299584121,0.9023602604866028
Как маршрутизируется защищённый трафик в сети ViPNet?,"Маршрутизация защищённого трафика в сети ViPNet осуществляется как внутри одной сети ViPNet, так и при взаимодействии с другими сетями ViPNet. Функция маршрутизации выполняется координатором, который также выполняет роль сервера IP-адресов для клиентов, предоставляя им необходимую информацию о параметрах доступа и адресах других защищённых узлов.","Защищённый трафик маршрутизируется на основе идентификаторов (ViPNet ID), которые присваиваются каждому узлу сети ViPNet и не меняются при смене IP-адреса узла. Это позволяет узлам защищённой сети взаимодействовать между собой независимо от изменений параметров и конфигурации физической сети.",01 ViPNet Coordinator HW 5. Подготовка к работе.pdf,"['01 ViPNet Coordinator HW 5. Подготовка к работе.pdf', '03 ViPNet Coordinator HW 5. Настройка в WEB.pdf', '02 ViPNet Coordinator HW 5. Настройка в CLI.pdf']","[0.9365962743759155, 0.908338725566864, 0.9041843414306641]",0.2,1.0,0.9163731137911478,0.9365962743759155,0.9041843414306641,0.01440015960364682,0.10666666171022246,0.7484934329986572
"Что происходит, когда на границе сети ViPNet установлено стороннее устройство для фильтрации и трансляции трафика?","Когда на границе сети ViPNet установлено стороннее устройство для фильтрации и трансляции трафика, клиенты не могут установить соединение напрямую. В этом случае соединение устанавливается через координатор, который выполняет функцию сервера соединений. Этот координатор также может выполнять трансляцию сетевых адресов (NAT) для защищенного трафика, что помогает решить две задачи: шифрование трафика и маскирование сетевых адресов. Кроме того, межсетевой экран может обеспечивать защиту от распространенных сетевых атак, таких как спуфинг.","Когда на границе сети ViPNet установлено стороннее устройство, выполняющее фильтрацию и трансляцию трафика, клиенты не могут установить соединение напрямую. В таком случае соединение устанавливается через координатор, выполняющий функцию сервера соединений.",01 ViPNet Coordinator HW 5. Подготовка к работе.pdf,"['01 ViPNet Coordinator HW 5. Подготовка к работе.pdf', '03 ViPNet Coordinator HW 5. Настройка в WEB.pdf', '01 ViPNet Coordinator HW 5. Подготовка к работе.pdf']","[0.910408616065979, 0.8927412033081055, 0.8923611640930176]",0.4,1.0,0.8985036611557007,0.910408616065979,0.8923611640930176,0.00841950398432398,0.5393258383032445,0.8284555673599243
Для чего используется исполнение ViPNet Coordinator HW2000 и на каких платформах оно распространяется?,"Исполнение ViPNet Coordinator HW2000 используется для защиты магистральных каналов связи, организации защищенного доступа в центры обработки данных и к облачным ресурсам. Оно распространяется на аппаратных платформах HW2000 Q4 и HW2000 Q5.","Исполнение ViPNet Coordinator HW2000 может быть использовано для защиты магистральных каналов связи, организации защищенного доступа в центры обработки данных и к облачным ресурсам. Исполнение распространяется на аппаратных платформах HW2000 Q4 и HW2000 Q5.",01 ViPNet Coordinator HW 5. Подготовка к работе.pdf,"['01 ViPNet Coordinator HW 5. Подготовка к работе.pdf', '01 ViPNet Coordinator HW 5. Подготовка к работе.pdf', '01 ViPNet Coordinator HW 5. Подготовка к работе.pdf']","[0.9312570095062256, 0.9139493703842163, 0.9121453166007996]",0.6,1.0,0.9191172321637472,0.9312570095062256,0.9121453166007996,0.00861565621246498,0.912280696755925,0.9685897827148438
